,Ticker,Buffet Stars,Volume:,Avg Vol (1m):,Market Cap $:,Enterprise Value $:,Financial Strength,Cash-To-Debt,Cash-To-Debt_ind,Cash-To-Debt_his,Equity-to-Asset,Equity-to-Asset_ind,Equity-to-Asset_his,Debt-to-Equity,Debt-to-Equity_ind,Debt-to-Equity_his,Debt-to-EBITDA,Debt-to-EBITDA_ind,Debt-to-EBITDA_his,Interest Coverage,Interest Coverage_ind,Interest Coverage_his,Piotroski F-Score,Altman Z-Score,Beneish M-Score,ROIC,WACC,roic - wacc,Profitability Rank,Operating Margin %,Operating Margin %_ind,Operating Margin %_his,Net Margin %,Net Margin %_ind,Net Margin %_his,ROE %,ROE %_ind,ROE %_his,ROA %,ROA %_ind,ROA %_his,ROC (Joel Greenblatt) %,ROC (Joel Greenblatt) %_ind,ROC (Joel Greenblatt) %_his,3-Year Revenue Growth Rate,3-Year Revenue Growth Rate_ind,3-Year Revenue Growth Rate_his,3-Year EBITDA Growth Rate,3-Year EBITDA Growth Rate_ind,3-Year EBITDA Growth Rate_his,3-Year EPS without NRI Growth Rate,3-Year EPS without NRI Growth Rate_ind,3-Year EPS without NRI Growth Rate_his,Valuation Rank,PE Ratio,PE Ratio_ind,PE Ratio_his,Forward PE Ratio,Forward PE Ratio_ind,Forward PE Ratio_his,PE Ratio without NRI,PE Ratio without NRI_ind,PE Ratio without NRI_his,Price-to-Owner-Earnings,Price-to-Owner-Earnings_ind,Price-to-Owner-Earnings_his,PB Ratio,PB Ratio_ind,PB Ratio_his,PS Ratio,PS Ratio_ind,PS Ratio_his,Price-to-Free-Cash-Flow,Price-to-Free-Cash-Flow_ind,Price-to-Free-Cash-Flow_his,Price-to-Operating-Cash-Flow,Price-to-Operating-Cash-Flow_ind,Price-to-Operating-Cash-Flow_his,EV-to-EBIT,EV-to-EBIT_ind,EV-to-EBIT_his,EV-to-EBITDA,EV-to-EBITDA_ind,EV-to-EBITDA_his,EV-to-Revenue,EV-to-Revenue_ind,EV-to-Revenue_his,PEG Ratio,PEG Ratio_ind,PEG Ratio_his,Shiller PE Ratio,Shiller PE Ratio_ind,Shiller PE Ratio_his,Current Ratio,Current Ratio_ind,Current Ratio_his,Quick Ratio,Quick Ratio_ind,Quick Ratio_his,Days Inventory,Days Inventory_ind,Days Inventory_his,Days Sales Outstanding,Days Sales Outstanding_ind,Days Sales Outstanding_his,Days Payable,Days Payable_ind,Days Payable_his,Dividend Yield %,Dividend Yield %_ind,Dividend Yield %_his,Dividend Payout Ratio,Dividend Payout Ratio_ind,Dividend Payout Ratio_his,3-Year Dividend Growth Rate,3-Year Dividend Growth Rate_ind,3-Year Dividend Growth Rate_his,Forward Dividend Yield %,Forward Dividend Yield %_ind,Forward Dividend Yield %_his,5-Year Yield-on-Cost %,5-Year Yield-on-Cost %_ind,5-Year Yield-on-Cost %_his,3-Year Average Share Buyback Ratio,3-Year Average Share Buyback Ratio_ind,3-Year Average Share Buyback Ratio_his,Price-to-Tangible-Book,Price-to-Tangible-Book_ind,Price-to-Tangible-Book_his,Price-to-Intrinsic-Value-Projected-FCF,Price-to-Intrinsic-Value-Projected-FCF_ind,Price-to-Intrinsic-Value-Projected-FCF_his,Price-to-Intrinsic-Value-DCF (Earnings Based),Price-to-Intrinsic-Value-DCF (Earnings Based)_ind,Price-to-Intrinsic-Value-DCF (Earnings Based)_his,Price-to-Median-PS-Value,Price-to-Median-PS-Value_ind,Price-to-Median-PS-Value_his,Price-to-Peter-Lynch-Fair-Value,Price-to-Peter-Lynch-Fair-Value_ind,Price-to-Peter-Lynch-Fair-Value_his,Price-to-Graham-Number,Price-to-Graham-Number_ind,Price-to-Graham-Number_his,Earnings Yield (Greenblatt) %,Earnings Yield (Greenblatt) %_ind,Earnings Yield (Greenblatt) %_his,Forward Rate of Return (Yacktman) %,Forward Rate of Return (Yacktman) %_ind,Forward Rate of Return (Yacktman) %_his
0,A,1,1907360,1829418,"42,42","44,85",6,"0,58","30,489999999999995",100,"0,5","37,65","55,26","0,51","35,019999999999996","42,98","1,55","45,04","95,59","16,63","34,650000000000006",100,7,"6,25","-2,53","14,9","7,26","7,640000000000001",8,"21,32","77,28999999999999",100,"19,15","77,28999999999999","88,89","24,37","79,64",100,"11,89","77,78","99,88",error,"83,4","95,28","10,8","54,87","81,6","14,9","49,72",64,"59,6","86,55","43,85",2,"35,64","40,48","76,61","28,99","35,900000000000006",0,"35,64","40,48","76,61","33,22","41,58","86,62","7,88","18,67","66,56","6,82","39,58","72,02","33,29","41,28","42,66","29,06","30,430000000000007","66,7","30,25","36,72","90,03","24,74","34,75","64,98","6,9","40,35","72,3","2,64","30,67","94,39","56,76","48,39","70,73","2,22","41,94","70,26","1,74","37,9","67,25","98,12","38,61","98,96","63,47","45,78","42,22","51,06","40,47","93,17","0,56","27,870000000000005","77,48","0,2","53,57","83,82","9,2","65,85",100,"0,59","30,510000000000005",0,"0,94","44,26","77,53999999999999","1,7","97,77","69,78","98,23","3,6500000000000057","80,08","2,64","44,9","86,5",error,error,error,"1,58",24,"43,01","3,09","19,049999999999997","60,56","12,46","7,920000000000002","54,36",error,"66,8","82,39",error,"37,36","63,08"
1,AA,0,5986310,7715277,"11,24","11,76",5,"0,84","24,739999999999995","70,69","0,27","13,819999999999993","86,49","0,45","25,900000000000006","48,31","0,79","63,03","88,91","7,35","15,319999999999993","59,85",6,"2,05","-2,05","9,86","16,59","-6,73",5,"13,78","64,34","82,94","7,29","58,93",100,"23,21","92,81",100,"5,62","84,84",100,error,"89,69",100,"-7,1","36,15","82,19",-22,"17,209999999999994",100,error,error,error,error,"14,11","47,28","98,07","8,51","63,18",0,"14,11","48,13","98,07","19,24","36,7","93,68","2,92","40,34","96,75","1,01","62,82","95,79","278,06","3,3499999999999943","97,14","29,41","19,489999999999995","60,94","7,65","62,19","65,22","5,31","67,61","84,14","1,02","73,5","76,14",error,error,error,error,error,error,"1,46","29,650000000000006","69,07","0,88","24,010000000000005",64,"62,3","62,11","46,9","19,46","66,9","57,75","57,78","31,209999999999994",100,"0,16","3,930000000000007","69,57",error,error,error,error,error,error,"0,66","14,909999999999997",0,"0,16","4,640000000000001","69,57","-0,1","96,13",100,"2,9","39,65","98,87","2,7","41,61","98,68",error,error,error,error,error,error,error,error,error,"1,34","38,53","79,91",error,"90,75","65,92",error,"44,2","99,83"
2,AAL,1,39683391,39581588,"11,59","44,09",3,"0,31","45,07","62,96","-0,11","4,340000000000003","64,78999999999999","-6,27","98,41","83,58","-18,98",error,"76,01",error,error,error,3,"0,18","-2,82","-9,2","4,74","-13,94",5,"-30,27","10,14","58,7","-13,23",18,"45,55",error,error,error,"-4,85","16,769999999999996","68,83",error,"17,019999999999996","60,65","-25,5","12,319999999999993","85,8",error,error,error,error,error,error,5,"880,09",error,error,"880,09","0,5999999999999943",0,error,error,error,error,error,error,error,error,error,"0,49","78,25","44,76",error,error,error,error,error,error,"-17,8",error,"80,51","-17,8",error,"80,51","1,78","53,38","43,24",error,error,error,error,error,error,"1,01","31,42","62,14","0,92","31,950000000000003",64,"22,29","30,430000000000007","79,19","17,98","85,08","77,42","20,61","19,840000000000003","60,34",error,error,error,error,error,error,-37,"32,47",100,error,error,error,error,error,error,"-9,3","23,22","69,74",error,error,error,error,error,error,error,error,error,"1,16","50,49","93,86",error,error,error,error,error,error,error,"14,780000000000001","66,89",error,"11,930000000000007","61,06"
3,AAN,0,201974,230118,"0,6929500000000001","0,99976",5,"0,05","8,069999999999993","97,22","0,51","62,32","66,67","0,4","60,16","89,13","0,41","92,2",100,"94,58","84,53999999999999",100,8,"2,76","-1,18","16,61","5,25","11,36",5,"12,9","83,86",100,"5,27","67,25","88,22","13,29","68,11",100,"6,75","72,97",100,error,"55,24",100,-1,"50,86",0,"-34,8",8,0,error,error,error,error,"7,94","82,25",100,error,error,error,"7,94","82,25",100,error,error,error,"0,97","72,86","81,18","0,42","71,2",75,"41,47","15,060000000000002","72,25","6,98","57,3","68,06","7,43","76,14","71,51","1,35","97,49",100,"0,54","74,95",75,error,error,error,error,error,error,"2,7","78,39",100,"0,23","7,260000000000005",100,"386,42","8,790000000000006",100,"6,03","75,48",100,"35,7","27,489999999999995",100,"1,81","42,25",100,"0,1","90,52",100,error,error,error,"1,81","35,379999999999995",0,"1,81","39,53",100,"-0,4","56,35",0,1,"74,95","87,03999999999999",error,error,error,error,error,error,error,error,error,error,error,error,"0,59","82,6",100,error,"82,39",100,error,error,error
4,AAON,1,180731,238918,"3,61","3,64",9,NoDebt,"99,68",100,"0,78","91,41",96,error,error,error,error,error,error,"5223,31","96,21","48,18",4,"22,44","-2,96","20,19","4,64","15,55",8,"16,23","86,57","61,22","13,88","88,9","85,45","19,29","85,41","52,65","14,93","95,16","50,74",error,"68,09","79,71000000000001","8,3","75,38","67,85",11,"65,57","72,28","13,8","66,81","76,64",1,"52,12","11,299999999999997","80,54",error,error,error,"52,12","11,040000000000006","80,54","57,1","12,280000000000001","68,78999999999999","9,01","2,680000000000007","68,01","7,17","10,010000000000005","83,17","81,89","6,409999999999997","66,89","34,62","16,89","64,11","42,02","10,510000000000005","80,52","31,13","11,560000000000002","80,57","6,79","7,780000000000001","81,04","9,31","9,120000000000005","92,1","67,42","7,930000000000007","69,18","3,65","89,65","97,1","2,24","81,57","88,78","86,29","30,819999999999993",100,"38,88","82,91",100,"18,42","4,280000000000001","61,7","0,54","9,180000000000007","93,33","0,29","53,81","54,17","13,5","79,06","56,63","0,54","7,909999999999997",0,"0,93","17,39","93,37","0,1","72,53","44,62","9,09","5,670000000000002","88,66","4,68","8,150000000000006","82,78999999999999",error,error,error,"1,72","19,510000000000005",50,"7,24",3,"78,95","4,59",5,"92,84",error,"29,89","96,1",error,"53,32","68,69"
5,AAP,1,1077271,626662,"14,83","17,52",5,"0,19","23,75",100,"0,27","26,260000000000005","46,87",1,"31,58","74,31","2,81","47,54","84,93","23,49","65,21000000000001",100,7,"2,87","-2,64","9,97","7,95","2,0200000000000005",7,"8,01","69,37","58,85","5,89","69,83","74,24","18,66","76,4","78,03","5,44","66,58","83,26",error,"62,59","88,45",5,"67,78","66,67","7,1","46,75","74,03999999999999","3,6","49,02","94,76",3,"24,07","35,64","64,71","18,81",40,0,"24,07","35,769999999999996","64,71","20,3","35,44","75,36","4,64","21,620000000000005","53,91","1,41","35,06","93,41","19,04","30,42","79,78","14,35","33,870000000000005","43,5","19,71","38,01","71,45","15,32","35,66",79,"1,58","36,96","95,6",error,error,error,"32,82","27,620000000000005","63,64","1,24","34,709999999999994","67,8","0,35","14,620000000000005","40,48","269,68","15,090000000000003","66,96","26,67","38,4",100,"223,68","91,47","78,4","1,38","32,75","99,21","0,25","62,98",100,"60,9","97,47",0,"1,68","33,790000000000006",0,"3,82","68,8","99,15","3,5","93,81","83,1","9,62","14,030000000000001","97,7","1,87","27,92","66,05",error,error,error,"1,25","35,78","67,39",error,error,error,"3,21","21,049999999999997","88,26",error,"54,11","89,16",error,"45,44","63,05"
6,AAPL,5,90925442,105707715,2770,2890,5,"0,5","26,430000000000007",100,"0,18","6,959999999999994",100,"1,98","4,340000000000003",100,"1,01","64,5","58,68","41,19","61,37","99,77",7,"8,04","-2,08","34,64","8,85","25,79",9,"29,78","97,25","49,51","25,88","96,14","86,28","144,28","99,47","97,29","27,91","98,89","95,71",error,"98,72","61,41","17,8","88,14","43,31","18,8","69,9","64,93","23,5","71,34","68,53999999999999",1,"30,22","37,04","73,28","30,37","15,879999999999995",0,"30,22","37,53","73,28","32,46","41,52","93,09","44,2","0,7000000000000028","94,27","7,84","11,879999999999995","92,78","30,88","38,8","92,7","27,6","33,64","93,05","25,33","34,480000000000004","76,62","23,04","30,819999999999993","80,21","7,77","11,829999999999998","91,22","2,13","42,14","62,29","59,01","22,22","87,18","1,07","11,219999999999999",100,"1,02","29,86",100,"8,92","98,14","86,28","21,05","96,29","84,71000000000001","82,75","61,77","79,51","0,5","16,730000000000004","94,98","0,15","81,99","60,87","7,7","67,75","62,04","0,51","16,049999999999997",0,"0,79","24,739999999999995","94,95","4,8","98,2","91,67","44,22","0,8599999999999994","98,06","2,79","31,549999999999997","41,34",error,"38,53","67,92","2,13","18,709999999999994","53,35","2,23","27,150000000000006","61,28","7,7","3,969999999999999","97,85",error,"52,38","94,28",error,"70,24","67,71000000000001"
7,ABBV,2,12315929,6789852,"241,81","308,67",3,"0,15","15,480000000000004",100,"0,09","11,030000000000001","73,03","5,96","1,5600000000000023","79,45","4,41","23,14","63,13","7,06","28,260000000000005","96,25",5,"1,67","-2,57","13,88","5,39","8,490000000000002",8,"31,65","94,55","40,02","13,66","76,93","75,92","54,86","98,32","81,36","5,04","65,5","93,68",error,"97,24","58,74","15,9","75,3",100,"4,4","44,73","71,72","-6,2","35,94","78,14",error,"32,57","35,629999999999995","41,96","9,72","83,56",0,"32,57","35,97","41,99","19,52","63,98","83,61","17,85","4,760000000000005","87,97","4,41","39,24","62,26","11,22","81,84","87,98","10,79","74,57","85,28","32,05","29,08","59,3","16,96","45,78","67,1","5,63","32,980000000000004","50,11","4,23","26,450000000000003","61,91","36,56","39,01","98,16","1,01","17,849999999999994","91,18","0,91","27,58","91,1","67,78","87,65","87,13","60,9","59,8","82,69","46,64","22,58","82,23","3,88","88,42","45,21","1,23","4,810000000000002","54,05","22,6","79,1","92,66","4,12","88,5",0,"9,78","94,74","45,15","-3,5","58,41",100,error,error,error,"1,37","65,59","73,64",error,"11,810000000000002","54,76",error,error,error,"3,83","14,230000000000004","58,88",error,error,error,error,"58,57","86,99",error,"66,25999999999999","83,36"
8,ABC,1,888327,998246,"27,85","32,48",5,"0,38","38,46","75,19",error,error,error,"29,93",0,"78,66","2,29","56,92","49,53","15,58","57,81",100,5,"4,16","-2,24","13,6",3,"10,6",6,"1,33","21,049999999999997","54,79","0,72","23,379999999999995","90,32",error,error,error,"3,08","50,65","87,21",error,"96,05","90,46","10,4","66,67","67,56","18,3","67,69","66,94","-0,6","37,31","67,97999999999999",6,"18,12","40,62","99,4","12,59","68,18",0,"18,12","40,62","99,4","11,6","74,47","99,21","124,72",0,"81,7","0,13","87,5","63,64","12,59","58,7","82,6","10,49","56,14","98,65","13,3","51,47","67,06","10,93","44,93","97,46","0,15","86,3",50,error,error,error,"74,83","9,299999999999997","83,04","0,94","6,329999999999998","92,86","0,57","11,39","48,15","24,36","83,33","74,48","26,86","93,42","95,41","60,32","39,73","93,05","1,34","26,92","62,79","0,24","69,05","91,55",5,"52,38","99,22","1,38","28,849999999999994",0,"1,72","33,33","62,65","0,8","77,27","89,38",error,error,error,"1,32","38,78","63,2",error,error,error,1,"30,769999999999996","63,08",error,error,error,error,error,error,error,"56,58","84,79",error,"90,57","79,66"
9,ABCL,0,3792745,1951632,"2,73","2,11",8,"87,65","69,35",100,"0,83","61,77",100,"0,01","88,36",100,"0,04","92,54","94,98","25,24","28,310000000000002",100,6,"11,48","14,82","72,27","7,87","64,39999999999999",4,"70,49",99,100,51,"96,02",100,"20,24","92,85",100,"23,11","96,32",100,error,"98,59",100,error,error,error,error,error,error,error,error,error,error,"22,13","63,37","99,83",error,error,error,"22,13",64,"99,83",error,error,error,"3,23","46,97","99,81","11,26","57,21","99,8","332,02","6,599999999999994","99,83","115,82","15,689999999999998","99,83","12,68","56,01","99,8","12,27","55,81","99,82","8,93","62,28","99,8",error,error,error,error,error,error,"7,86","59,59",100,"7,85","60,16",100,"10,56","96,15",0,"2,37","98,71",100,"58,99","31,730000000000004",0,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,"3,82","44,39","99,75",error,error,error,error,error,error,error,error,error,error,error,error,"1,92","62,07","99,67",error,"89,19","98,55",error,error,error
